Card 1,Card 2,Card 3,Score
5h,9s,Ad,0.323677718
6c,8h,Kd,0.323674933
6h,9s,Kh,0.323662847
3c,Ad,Th,0.323632978
4s,Kd,Qd,0.323626421
5h,7h,As,0.323587850
2s,3c,Ac,0.323576507
5d,8h,Kc,0.323565140
2h,7c,Ac,0.323553748
7h,Jh,Qs,0.323542331
2h,6s,Ah,0.323530889
6h,7h,8s,0.323496415
6d,9s,Ah,0.323496415
3c,3s,Th,0.323484873
3d,8c,Ac,0.323469169
2h,Ah,Td,0.323465581
2h,Kh,Qd,0.323438453
7h,9d,Tc,0.323368054
7h,Jd,Ts,0.323351296
2d,2h,Kc,0.323344380
3d,Jc,Ks,0.323344380
2s,Kh,Qs,0.323332504
5h,7s,Ac,0.323332504
4s,Ks,Qh,0.323320602
7d,9s,Kc,0.323316344
7d,8d,Th,0.323296717
5d,7c,Ah,0.323284735
3d,5s,Ac,0.323284735
7c,9s,Js,0.323272726
4d,7d,9d,0.323271867
5s,Qs,Td,0.323248628
2c,6c,Jc,0.323200108
7c,8c,Jh,0.323175684
3h,As,Td,0.323159048
4h,7h,Jh,0.323159048
4h,8c,Ac,0.323113258
5h,6c,Kh,0.323090987
3c,4d,Ac,0.323089330
7d,Qs,Ts,0.323076882
4d,Qs,Ts,0.323076882
2c,6s,As,0.323051900
5s,6c,Ah,0.323032192
3s,6d,Ah,0.323001596
8d,9c,Kd,0.323001596
5h,9h,Kc,0.322985328
8d,Js,Kh,0.322938065
2h,4c,Ac,0.322938065
3h,Js,Qh,0.322902352
6c,7s,Ac,0.322899595
5c,8h,Kh,0.322890396
3d,4c,Ah,0.322878415
2h,4h,5h,0.322866409
4h,6h,Ad,0.322859995
6c,8h,9h,0.322842318
6s,7d,8s,0.322808790
4s,9d,Qd,0.322808790
7s,8h,Th,0.322805987
7s,Jc,Qh,0.322769420
2d,Ac,Jh,0.322703187
6h,9c,Qc,0.322645796
7h,9h,Js,0.322622676
2c,2h,Jh,0.322620745
5s,7h,Ac,0.322620745
3h,4h,6h,0.322608179
2s,3c,3d,0.322608179
7s,9s,Jh,0.322595585
3c,7d,Ah,0.322544932
7h,9h,Qc,0.322544932
5h,Kc,Qd,0.322493829
3s,Js,Kd,0.322493829
5d,8c,As,0.322493829
7d,9h,Qd,0.322429309
3c,Kc,Th,0.322404168
6c,8d,Kc,0.322391992
2s,3h,As,0.322390251
6h,Jc,Tc,0.322377173
4h,8h,Kd,0.322364066
7c,8h,Js,0.322343034
7d,8h,9s,0.322337764
6s,9h,Kd,0.322324568
7d,Qh,Ts,0.322318400
7s,9c,Qs,0.322318400
4s,Ac,Jd,0.322311343
2d,2h,7c,0.322258142
3s,Qs,Tc,0.322231361
2s,4s,Ad,0.322231361
2s,7c,Ac,0.322217925
7s,8h,9c,0.322204458
4s,5h,Ac,0.322193663
3d,4d,Jd,0.322193663
5d,8s,Qs,0.322193663
2d,7s,Ad,0.322181043
6c,Ks,Th,0.322177433
5d,Qc,Tc,0.322155723
7s,9h,Jh,0.322150284
6s,7c,Kh,0.322095612
6d,Kc,Qh,0.322091950
5d,8s,Kd,0.322079113
6d,8s,Qs,0.322066249
6c,Jc,Ks,0.322054278
5c,7d,Ah,0.322040437
3d,Ks,Qd,0.322026564
7d,8d,Ac,0.322014514
6h,9c,Tc,0.321998721
4c,7h,As,0.321988479
6h,Qd,Ts,0.321984751
2c,2s,Qh,0.321975420
6s,7d,Ac,0.321962332
3c,7d,Ad,0.321949215
2c,2d,8s,0.321949215
3s,6d,Ks,0.321928547
4h,6d,Ac,0.321928547
7s,Kd,Qh,0.321922897
2c,2s,Td,0.321909696
4d,8c,Ah,0.321843253
2c,Jc,Kh,0.321843253
3s,6s,Ts,0.321843253
2h,5d,Ah,0.321829877
6s,Jd,Qh,0.321816472
4s,Jc,Qd,0.321816472
5d,7d,Kc,0.321803038
2c,4c,Ah,0.321789574
3h,8d,Ad,0.321776081
7h,Jc,Ks,0.321771254
7d,Qc,Tc,0.321749004
5s,6c,Ac,0.321749004
5d,Js,Qd,0.321749004
6d,Jh,Qd,0.321742217
2c,3d,Ah,0.321735422
3c,Jh,Kc,0.321735422
4s,9h,Ah,0.321727647
8s,9d,Kh,0.321698402
4c,9h,Ah,0.321694493
3h,5h,6h,0.321694493
2c,8s,Ah,0.321680789
7d,9c,Qc,0.321680789
7s,8c,9h,0.321652430
3s,9d,Ks,0.321597927
6d,7h,Ks,0.321570060
8s,9c,Kh,0.321550078
2c,Jh,Kc,0.321513950
7h,Jc,Th,0.321513950
4c,9h,Ad,0.321513950
8h,9c,Jd,0.321485705
3s,9h,Ks,0.321482165
5s,Jd,Kh,0.321471535
7s,9c,Ts,0.321468875
7h,8h,9d,0.321468875
4c,Kd,Qh,0.321443099
8c,9s,Jh,0.321428833
7d,8c,Qs,0.321428833
7s,8d,Jc,0.321415429
7d,8h,9d,0.321401997
7d,9c,Ks,0.321385840
7d,9c,Kh,0.321385840
3d,3s,9c,0.321371444
2h,Js,Qh,0.321371444
3h,7s,Ah,0.321371444
3h,Kh,Qc,0.321357016
5h,6c,Ac,0.321357016
2d,3h,As,0.321342554
2s,6s,Ah,0.321320800
3d,4d,Ah,0.321293503
2c,2d,8c,0.321279810
2d,2h,Ks,0.321255090
2c,4h,Ah,0.321255090
2c,8c,Ah,0.321255090
2d,2h,Qd,0.321238556
7c,Jc,Qd,0.321224745
2d,5s,Ad,0.321210905
2c,3c,Ad,0.321210905
6c,8c,Kh,0.321197035
7h,8d,9s,0.321183135
4h,Jc,Kd,0.321183135
2d,5h,Ad,0.321151516
6c,8s,Ks,0.321127232
2d,2s,4c,0.321076504
6d,9d,Qh,0.321070842
2s,6s,Kd,0.321046254
2c,2h,3d,0.321042463
4h,8s,Ks,0.321042463
3s,8d,Ac,0.321015863
4h,5d,Ac,0.320985331
2h,3d,3s,0.320985331
7h,8d,Qd,0.320970969
5h,9d,Kh,0.320942151
5d,8c,Ah,0.320927695
6h,7c,9h,0.320898686
2c,3c,Ah,0.320898686
6d,Qc,Ts,0.320884134
2d,Kd,Ts,0.320869549
7d,9c,Js,0.320869549
4h,5d,As,0.320854932
7s,8s,Kc,0.320846146
4d,7s,Ad,0.320840283
5h,9c,Kh,0.320830498
4h,Jc,Qh,0.320810886
2s,4c,Ah,0.320766546
6s,9s,Qc,0.320765674
4s,5d,As,0.320765674
6d,Qs,Tc,0.320751700
4h,Ac,Jh,0.320736821
5d,Js,Qh,0.320721908
2s,Kh,Qh,0.320709602
3c,Ad,Ts,0.320709602
5s,Jd,Kc,0.320706962
7d,9h,Ks,0.320706962
7h,8s,Jh,0.320695510
3c,5c,Ah,0.320695510
3s,Kh,Ts,0.320691983
2d,2h,Qs,0.320676970
2h,4c,Ah,0.320676970
2c,2s,6s,0.320667237
6d,7d,Kc,0.320661923
3s,8s,9s,0.320631727
2c,8s,Ac,0.320616579
7c,Qh,Tc,0.320610331
7d,9h,Js,0.320570927
2s,Jh,Ks,0.320567333
5h,8s,Ac,0.320555641
7h,8d,Ts,0.320552939
7d,8s,Kd,0.320540320
7h,9s,Jh,0.320538515
3d,4c,Ad,0.320524964
6h,Kc,Ts,0.320524964
4s,7d,As,0.320524060
6h,7s,Kc,0.320509573
2c,2s,Ah,0.320509573
7c,8d,Kh,0.320480508
6c,Qd,Td,0.320463191
4h,6d,Ah,0.320451318
2d,2s,3h,0.320451318
7c,8c,Kd,0.320440746
7s,8s,Kh,0.320416491
2d,8c,Ac,0.320385178
8c,9s,Qc,0.320337940
6h,9s,Ks,0.320290374
5s,Js,Qd,0.320288502
3c,5c,Tc,0.320273507
8h,9d,Qc,0.320272673
6h,7s,8d,0.320258479
2s,7s,Ac,0.320243419
6s,8c,Kh,0.320242477
5d,Qc,Td,0.320228326
8s,9c,Kd,0.320228326
6h,8c,Ah,0.320228326
6h,9c,Kc,0.320213200
7h,8c,Td,0.320210360
7d,Jc,Ks,0.320198041
6h,7c,8s,0.320198041
3c,Kd,Qs,0.320167623
2s,Kc,Ts,0.320167623
3s,7h,Ah,0.320129412
2s,Ah,Js,0.320060101
3h,Jc,Kc,0.320056661
6s,Kc,Qh,0.320044605
4d,Kh,Td,0.320029075
6h,8c,Th,0.320012644
3h,6c,Ac,0.319997910
2h,2s,5c,0.319968350
5d,Jh,Td,0.319966607
2c,9d,As,0.319919390
4h,9d,Ah,0.319908855
4h,9d,Kd,0.319878919
6s,7h,Ad,0.319871857
2c,Ks,Qc,0.319855941
7h,Jc,Tc,0.319855941
7s,Jh,Ts,0.319839989
7s,9h,Jc,0.319839989
2d,2s,5c,0.319812990
2s,7s,Ts,0.319807979
5h,Ks,Td,0.319788346
4d,8h,Kh,0.319773138
2d,Jc,Qd,0.319759692
2s,4d,Ah,0.319742625
6d,Jd,Qc,0.319711077
2d,2s,Jh,0.319696610
7c,8s,Jh,0.319694799
3d,9d,Qh,0.319692762
6h,9c,Kh,0.319678484
2d,8s,As,0.319650298
4s,6h,Ad,0.319645742
3c,4c,Ah,0.319619257
7h,8c,Jd,0.319612850
4d,Jh,Ks,0.319596348
2d,2h,Td,0.319596348
3d,3s,6c,0.319572445
3h,Jc,Ks,0.319556774
3c,Kh,Qd,0.319509555
7h,9c,Jc,0.319462963
3h,5h,As,0.319462028
6h,9d,Kc,0.319446117
7s,9d,Kc,0.319430170
5d,6c,7d,0.319414190
4h,6s,Ah,0.319398174
5d,6d,7s,0.319398174
4d,Ks,Qc,0.319385505
7c,9s,Th,0.319309935
4s,7h,Kh,0.319309030
7c,8d,9h,0.319301339
3d,7h,Ad,0.319268776
6d,7c,8c,0.319252441
6d,8c,9c,0.319252441
6s,Qc,Tc,0.319252441
6d,Jd,Qs,0.319219661
7h,Jd,Qh,0.319219661
4s,8d,As,0.319203217
2c,Ks,Td,0.319122200
4d,5d,Jd,0.319120448
3h,3s,4c,0.319106417
2h,Ks,Qs,0.319103783
5h,Js,Qh,0.319103783
3h,9c,Ad,0.319090600
5h,Qc,Td,0.319087081
7h,8s,Kd,0.319087081
7s,8d,Jd,0.319070342
2d,2h,Js,0.319070342
3d,7d,Ac,0.319053565
7h,8d,Th,0.319053565
6h,Ac,Ts,0.319036751
6d,7c,Kd,0.319036751
2d,2h,Qc,0.319026999
6c,9s,Qs,0.319003009
4h,6h,Th,0.318986082
3s,4c,Ac,0.318957217
6h,9c,Ks,0.318946734
5c,7c,As,0.318917989
2d,3d,3h,0.318917989
4c,Qc,Th,0.318900870
2d,8c,As,0.318883711
2c,8c,As,0.318866514
4d,7d,Ks,0.318866514
7h,8c,Qh,0.318865608
3h,6h,As,0.318849278
2s,3h,Ac,0.318832913
6c,8s,9s,0.318814689
5d,Ac,Th,0.318812649
5h,Qc,Tc,0.318783607
3c,7c,Ad,0.318783607
5s,9d,Kc,0.318727523
2c,2d,6s,0.318700716
3c,Jd,Kd,0.318684030
3c,Kh,Qs,0.318674744
6s,8h,Kd,0.318667308
4s,5h,Ad,0.318657071
2d,Ac,Ts,0.318657071
2s,9d,Ah,0.318650549
2d,9h,Kd,0.318644675
7h,8s,Qd,0.318583147
6c,Kh,Td,0.318583147
3h,5c,Ad,0.318550169
3d,Kd,Ts,0.318532208
4d,7h,Ac,0.318483505
3h,4s,As,0.318463766
2c,Jh,Qh,0.318412037
5s,9h,Kh,0.318394718
7c,9h,Kc,0.318368667
2d,Ad,Tc,0.318359964
2h,4h,Kh,0.318342529
7d,9h,Td,0.318318931
2c,Kh,Qc,0.318239068
7c,9d,Jc,0.318235333
3s,Jh,Qs,0.318235333
7d,8h,9h,0.318201646
4h,8s,Ac,0.318184748
3d,Jh,Qh,0.318184748
7d,9s,Qc,0.318167814
4s,6d,Ac,0.318166029
7h,8d,9c,0.318150844
6s,8d,9d,0.318148161
4d,7c,As,0.318145179
2d,5h,Kh,0.318112304
2d,2s,9h,0.318112304
5s,8d,Kh,0.318112304
5h,6h,Th,0.318094315
5d,9c,Kc,0.318076285
8d,9s,Qc,0.318065448
5h,9s,Kh,0.318050171
4d,5h,As,0.318048259
3d,6d,9d,0.318013769
3s,7s,Ac,0.318003758
6d,Qh,Td,0.317996469
7d,8h,Td,0.317967247
2d,3d,Qd,0.317967247
4c,Js,Qs,0.317961756
7h,9c,Qd,0.317948929
6c,9d,Qh,0.317926892
5s,8h,Kc,0.317926892
5c,7c,8s,0.317912168
3c,3d,Js,0.317893724
7h,8h,Jd,0.317891878
5h,Jc,Th,0.317875239
4h,7h,Ac,0.317873476
5h,Qs,Tc,0.317856711
6d,7c,8s,0.317839070
3s,8s,Ac,0.317803673
7d,Ks,Tc,0.317768121
4c,9c,As,0.317768121
3h,Kh,Qd,0.317732413
6c,8c,Qh,0.317725818
3h,5s,Ad,0.317714501
3d,Kh,Qs,0.317642456
4c,7c,Tc,0.317601002
2d,Kc,Tc,0.317573615
7c,9s,Qc,0.317533191
2h,2s,7d,0.317441020
3c,4d,As,0.317426000
6h,Js,Qc,0.317422462
2s,Qs,Td,0.317418550
2d,8d,9d,0.317398962
5d,7d,Kh,0.317385223
6c,Qs,Ts,0.317366540
6s,Qd,Tc,0.317366540
6h,Kd,Ts,0.317359647
2c,Kc,Qs,0.317329049
4c,Jc,Kd,0.317329049
7h,9s,Ks,0.317291390
4d,8h,Kd,0.317291390
2h,Jc,Kh,0.317291390
7d,8d,9h,0.317265288
2s,5c,Ah,0.317265288
3c,8d,Ac,0.317215561
7c,8h,Td,0.317211025
4h,8d,As,0.317192860
4s,Jd,Qd,0.317174655
6h,7c,Kc,0.317174655
4d,9s,Ad,0.317158237
3h,Ks,Qh,0.317156411
6h,Jh,Qs,0.317156411
2h,Kc,Th,0.317156411
2h,2s,4c,0.317119804
6h,Ad,Jc,0.317119804
5h,7c,Kc,0.317100522
2s,Jh,Kh,0.317084714
4s,9s,Kc,0.317064596
8s,Qd,Tc,0.317042412
4c,Qd,Td,0.317022954
6c,Kh,Qd,0.317022954
3d,Js,Kd,0.317014094
7s,9d,Jc,0.316934368
3s,Js,Kh,0.316907057
2c,2s,5h,0.316905262
4d,Jh,Kd,0.316885489
4h,Ks,Td,0.316865669
7s,8c,Qc,0.316865669
4c,5c,Ks,0.316840120
5s,7s,Qc,0.316840120
7d,8s,Th,0.316825894
2s,3s,Ah,0.316821146
6d,9c,Jc,0.316805937
5h,Jc,Qh,0.316783072
3s,6c,As,0.316780470
7c,9h,Jd,0.316725645
6h,Js,Kc,0.316706418
5s,Qc,Ts,0.316687148
5h,Qs,Ts,0.316687148
5c,Kh,Ts,0.316670471
5d,Jc,Qc,0.316667835
3h,Qh,Tc,0.316648479
6h,8c,9c,0.316633493
5s,Jd,Qs,0.316624224
7d,9h,Ts,0.316609638
3h,4c,As,0.316559063
2h,2s,Td,0.316551051
3h,Jc,Qh,0.316531435
6d,9s,Qd,0.316511774
7h,9d,Qd,0.316502823
7d,9c,Qh,0.316492069
4h,6c,As,0.316483996
5h,8h,Ks,0.316472320
8c,9d,Qh,0.316446220
2s,Jd,Kh,0.316432689
7s,8d,9h,0.316427271
5h,8c,Ks,0.316427271
2h,Kh,Td,0.316427271
3h,Kd,Th,0.316412806
5s,Kc,Tc,0.316408281
7c,Jd,Ks,0.316392879
7h,9d,Qh,0.316372906
7s,9d,Tc,0.316367688
7d,8c,Tc,0.316312716
4h,6c,Ad,0.316312716
8h,9d,Ks,0.316312716
2d,Jd,Qc,0.316293479
7c,9d,Jd,0.316292562
5d,Jd,Qs,0.316275878
2s,Qd,Td,0.316272362
2s,5s,Ad,0.316272362
2h,5d,Ad,0.316231824
2s,Qh,Ts,0.316201742
3c,Kh,Td,0.316157643
4s,7s,Ah,0.316118450
7d,8c,Th,0.316108198
8s,9d,Jh,0.316098790
6s,8c,Kd,0.316079086
2c,Ah,Td,0.316059339
3h,Kc,Tc,0.316039548
5h,Jc,Ks,0.316032654
6h,Jd,Qd,0.315994644
2c,2s,4d,0.315979915
4h,7c,As,0.315956473
3c,9h,Kc,0.315919886
3s,7h,As,0.315899788
6d,Jc,Qd,0.315879645
2c,2s,Ts,0.315879645
4c,Kd,Th,0.315879645
7d,9d,Tc,0.315860336
2h,2s,5d,0.315840986
5c,6s,Ah,0.315798625
3s,Ac,Th,0.315794749
5h,9h,Qs,0.315778257
6s,8c,9s,0.315778257
8s,9h,Qc,0.315752003
4h,7s,Ac,0.315737385
2h,8d,As,0.315724017
3c,8h,Ah,0.315696329
2s,6s,Ac,0.315687508
5d,Kh,Td,0.315645200
4c,Js,Kd,0.315634400
7h,9s,Js,0.315613664
5h,9c,Ks,0.315605537
5d,Qd,Tc,0.315605537
3s,Qd,Ts,0.315605537
2c,2d,6d,0.315572052
2c,2s,6c,0.315545722
5s,8c,Ah,0.315525697
2d,7d,Ac,0.315525697
6c,8s,Qc,0.315485517
3c,Kh,Tc,0.315483000
5d,9s,Jd,0.315467196
5d,Qh,Th,0.315465362
5s,9d,Qc,0.315447088
5c,9d,Kh,0.315446082
3s,9d,Kd,0.315424920
4s,6d,Ks,0.315424920
5h,9c,Kc,0.315424920
6h,8h,Kd,0.315404633
4h,8h,Kc,0.315384302
4s,6c,As,0.315380424
6d,7c,9c,0.315361144
5h,Jd,Kc,0.315339789
2h,2s,4s,0.315339789
2c,Jc,Kd,0.315323041
7h,8h,Qs,0.315268250
2d,2s,7d,0.315220044
6h,As,Jd,0.315208818
3s,Kc,Tc,0.315199308
5s,7d,As,0.315178527
3d,4d,7d,0.315178527
2d,Kc,Th,0.315145371
5c,7h,As,0.315136827
2s,Js,Qh,0.315131850
3s,8s,Ad,0.315108924
5h,9s,Kd,0.315088819
4h,9s,Qh,0.315083181
3s,Jc,Qc,0.315073930
6s,9d,Qc,0.315052872
3d,7s,Ks,0.315048479
2d,4d,Qd,0.315007967
7h,9c,Th,0.314989416
7c,Jh,Qh,0.314987647
2h,2s,7s,0.314967283
2d,4c,Ah,0.314926424
2c,Kc,Ts,0.314905929
8s,9h,Qd,0.314857312
6h,7c,Th,0.314844181
7d,9c,Ts,0.314839691
7c,9h,Jc,0.314828474
3d,Kd,Tc,0.314823509
7d,8s,9c,0.314818109
3d,6d,As,0.314818109
7c,8h,Kh,0.314802793
5s,Jc,Kh,0.314796479
6s,Jh,Kd,0.314753074
7c,Jh,Qd,0.314731297
4h,8s,Ad,0.314721383
4h,Kc,Qs,0.314709472
6s,Jd,Qs,0.314688473
6s,Qc,Th,0.314687597
4d,5d,9d,0.314668306
5h,Jd,Kd,0.314665673
6d,7h,8s,0.314656523
6d,9c,Tc,0.314635446
6c,9h,Ks,0.314593154
4h,Kd,Ts,0.314577478
6s,Qs,Td,0.314508015
3h,9s,Ac,0.314505449
2c,Jd,Qs,0.314422991
7d,8d,Tc,0.314421191
2d,Ah,Jc,0.314403864
2h,9s,Ac,0.314402268
5h,Jc,Qd,0.314400539
2s,7s,8s,0.314381501
5d,6c,Ad,0.314378902
4d,8d,Ah,0.314376076
3c,9s,Kh,0.314376076
2h,2s,8c,0.314357217
4c,5s,Ah,0.314353441
5d,7h,Ac,0.314335485
7s,9d,Qd,0.314277959
3c,4h,Ad,0.314262378
3h,Jd,Qd,0.314255972
6d,9d,Qc,0.314239480
5d,7h,Kh,0.314226099
3s,7c,Ah,0.314204076
5d,6s,Ah,0.314204076
5d,6c,Ks,0.314193526
6s,9s,Kh,0.314192605
3c,6h,Ah,0.314171393
4h,7d,As,0.314128832
6d,8d,Kh,0.314124194
7c,Js,Qc,0.314093225
6h,Jc,Kd,0.314086088
2s,9c,Ah,0.314086088
7c,9h,Th,0.314070906
5h,8d,Qh,0.314048537
7c,8s,9s,0.314021628
2c,6h,Ah,0.314003649
6s,8d,Ks,0.313996725
3s,Jc,Qs,0.313984069
4d,6c,As,0.313958559
4h,9h,Kc,0.313956751
4c,9d,Kc,0.313935938
4s,5s,Ts,0.313869592
6s,9h,Kc,0.313850215
2s,3s,Qs,0.313844943
6d,Jd,Qh,0.313844943
4c,6d,Ad,0.313844943
4c,Jh,Kd,0.313825729
2d,4d,Jd,0.313822065
3h,Kd,Qd,0.313803726
4d,Jc,Ks,0.313781675
2c,Jd,Kc,0.313781675
4s,Jc,Qs,0.313776155
4d,Ks,Td,0.313759576
4s,7d,Ac,0.313701550
6d,9h,Ac,0.313683706
4h,Js,Kd,0.313660462
8h,Qc,Tc,0.313625963
3s,Jh,Kd,0.313625963
6c,9h,Qs,0.313603524
7c,8h,9d,0.313590411
4d,5d,Kh,0.313581034
2d,5c,Ac,0.313566954
5c,6h,Ah,0.313551626
5s,Jh,Qs,0.313535907
2h,5c,Ah,0.313496258
3h,6h,Ks,0.313467843
3d,7d,9d,0.313467843
6d,Qs,Ts,0.313463465
3d,8s,Ah,0.313448856
3c,8c,As,0.313445055
2d,4c,As,0.313419577
6c,Qs,Tc,0.313419577
5d,Kc,Qc,0.313353394
5s,9d,Kd,0.313353394
2d,9d,Qs,0.313353394
2h,3c,Ah,0.313331239
4d,8c,Kc,0.313330352
6c,8d,Kh,0.313309036
5s,6d,Kc,0.313307258
6c,7c,As,0.313284112
7s,Jh,Qd,0.313284112
7c,Jc,Td,0.313284112
6h,7c,8d,0.313281216
4d,Kh,Ts,0.313264488
3d,Kd,Th,0.313242142
6s,Js,Th,0.313197305
7c,9s,Jh,0.313191013
2d,2h,3d,0.313152275
4s,5s,Kc,0.313144149
6c,7d,Qs,0.313129687
5s,9h,Qh,0.313120639
5d,7h,Ks,0.313110827
5d,9c,Qs,0.313110827
3d,8d,As,0.313061630
3h,Ac,Th,0.313038846
3c,7h,Ad,0.313038846
6h,Qh,Tc,0.313036945
6d,9c,Ah,0.313012202
5c,7h,Ad,0.313002288
6h,7d,Kc,0.312978457
3c,8h,As,0.312970196
5s,Jh,Qh,0.312962540
7d,9h,Qs,0.312940393
2s,8c,Ad,0.312924180
7s,9d,Qs,0.312924180
2c,2s,Kh,0.312918200
2d,Kh,Qs,0.312834333
4d,Jh,Qh,0.312831542
3c,Jh,Qc,0.312785853
5h,Jh,Tc,0.312784918
6h,7s,Ts,0.312784053
4c,7h,Ad,0.312761530
6d,9h,Kc,0.312738090
4d,6c,Ah,0.312738090
6c,Kd,Tc,0.312714598
3s,7c,As,0.312677229
6d,Js,Ts,0.312667459
4d,7h,Ah,0.312643811
2c,As,Qd,0.312639075
3d,Ks,Qs,0.312639075
5d,Jc,Tc,0.312620111
2h,Jh,Kc,0.312602521
2c,6c,Tc,0.312596358
3c,Qd,Tc,0.312596358
4h,Kh,Ts,0.312592258
2s,9h,Kh,0.312589698
3c,Ks,Ts,0.312579612
6c,Js,Tc,0.312564924
7s,8h,Jh,0.312548695
7c,8d,Jd,0.312504817
3s,7c,Ac,0.312487483
2c,5s,Ac,0.312476802
3h,As,Jd,0.312464327
4h,7c,Ac,0.312452731
5h,8d,Ks,0.312452731
2d,6c,Kd,0.312441122
5c,9d,Qs,0.312355907
5h,6d,As,0.312307169
5s,8c,Kc,0.312282718
3d,Jh,Kc,0.312282718
4s,6c,Ac,0.312282718
2c,2d,3d,0.312263118
5d,9h,Jd,0.312258212
2h,Jd,Kh,0.312253668
6h,8c,Kd,0.312249446
2s,4d,Ac,0.312237584
4h,5h,Th,0.312233651
4d,6s,Ks,0.312226623
5s,6h,Ac,0.312209034
6c,8s,Kd,0.312209034
7s,8c,Ts,0.312206295
7h,9s,Kc,0.312184362
3s,8h,Kh,0.312159634
6d,9s,Kd,0.312158717
3d,As,Tc,0.312158717
2s,8d,Ac,0.312158717
7s,9h,Ts,0.312110931
3s,6s,Ad,0.312110931
2c,3h,Ad,0.312086959
7d,8s,Jh,0.312065512
4s,5s,Kd,0.312062936
4c,5c,8c,0.312035151
6h,Jd,Th,0.312014730
7h,9c,Jh,0.312014730
7c,8c,Qs,0.311995735
7h,9d,Jd,0.311972377
7c,8s,Ks,0.311966313
7s,Jh,Qh,0.311959780
2c,2h,Ks,0.311959780
2c,Ks,Qh,0.311952719
3c,Ks,Td,0.311925513
5c,9d,Qh,0.311902007
2d,9d,Ac,0.311893288
2h,7h,Ac,0.311883891
6s,9c,Ks,0.311883891
8h,9h,Kd,0.311858479
6h,Jc,Qh,0.311819779
8c,9d,Js,0.311807480
6c,Jc,Td,0.311783722
2h,3h,5h,0.311759913
2c,7c,Ah,0.311750046
7d,8s,9d,0.311745780
2h,Jd,Ks,0.311736053
2h,Kd,Th,0.311730540
4s,Jh,Qd,0.311721004
5c,Jd,Qd,0.311721004
4d,5d,Ks,0.311712143
3h,7h,Th,0.311704775
7s,8d,Qh,0.311688181
5h,6d,Qh,0.311653067
6h,8h,Kc,0.311653067
4d,9d,Ks,0.311640102
4c,Js,Kh,0.311621349
5s,Jh,Kh,0.311621349
7c,Jh,Qs,0.311615986
5d,Kh,Ts,0.311587645
2s,7h,As,0.311571188
5c,Kh,Td,0.311564251
4d,Qc,Tc,0.311520802
3d,7c,Ah,0.311520802
2h,4h,Jh,0.311520802
3h,5h,9h,0.311520802
4c,6h,Ah,0.311520802
2s,Jc,Ks,0.311518998
3d,5c,As,0.311496497
5d,6s,Kd,0.311496497
8s,9d,Qc,0.311495524
7s,8d,Qd,0.311495524
3h,7d,As,0.311494620
7s,9h,Jd,0.311470189
4h,5c,Kc,0.311444798
5d,6h,7d,0.311444798
7s,Jh,Td,0.311419349
3c,4c,6c,0.311417389
5d,8d,Kh,0.311393843
3c,Jc,Qh,0.311390896
6h,7s,9s,0.311378512
2c,6s,Ac,0.311371935
5d,6s,Ac,0.311368280
6s,9h,Qh,0.311364342
3d,9h,Ac,0.311347238
7h,8s,9c,0.311347238
5s,6h,Qs,0.311342658
3h,4s,Ac,0.311322487
5c,Qc,Td,0.311316979
6c,7s,Qs,0.311297682
2h,8h,Kc,0.311297682
6h,7d,9c,0.311231557
3d,7s,As,0.311187708
2c,4s,As,0.311158982
7s,Jd,Kh,0.311122521
6h,7s,Kd,0.311071978
3s,6s,7s,0.311056960
2c,7d,Ah,0.311051699
5d,8c,Kc,0.311051699
5h,7h,Kc,0.311046624
6h,Qc,Ts,0.311030631
6c,8c,Qd,0.311012438
6c,9d,Tc,0.311012438
7c,8h,Jh,0.311004242
3d,Qs,Ts,0.310970223
6c,9c,Ts,0.310970223
4s,8c,Ks,0.310970223
7c,Jh,Ts,0.310963172
5h,6d,Kh,0.310951281
6s,9c,Tc,0.310944644
5s,6s,Kc,0.310919007
6c,7h,9h,0.310898076
2c,8s,As,0.310893314
2c,2h,5s,0.310893314
5s,6h,7h,0.310893314
5s,9c,As,0.310888878
7s,8s,Tc,0.310884737
4c,5s,Ks,0.310867564
2s,6c,Ad,0.310841756
2s,8s,9s,0.310815891
4s,6s,Ad,0.310814105
8d,9c,Kc,0.310814105
2h,5h,Ac,0.310790929
6h,7d,8s,0.310763987
3h,9h,Qs,0.310713653
5d,Kc,Th,0.310709916
4d,9s,Ks,0.310709916
4s,Js,Qc,0.310663101
5s,6h,Qh,0.310633209
3h,8s,Ks,0.310612330
2d,Jd,Qh,0.310601018
5h,Qd,Ts,0.310601018
6h,Qc,Th,0.310586862
4c,Js,Qc,0.310580486
3h,Kh,Tc,0.310554035
6c,Qc,Th,0.310484433
2d,2h,5h,0.310447634
2s,Ac,Td,0.310447634
5h,6h,Ac,0.310444071
6s,Jh,Qc,0.310432883
7d,9d,Th,0.310420883
7d,9h,Kc,0.310381107
6d,Kc,Ts,0.310381107
2d,2h,3s,0.310367200
4d,9h,Kh,0.310367200
4d,Jd,Qs,0.310340266
5d,8h,9h,0.310329103
2h,7d,Ah,0.310329103
6d,9h,Ks,0.310313271
6d,9d,Kc,0.310293436
6s,7c,9c,0.310286215
2c,9h,Ac,0.310276871
2h,7h,Ks,0.310250669
4d,6h,As,0.310250669
4c,Kd,Tc,0.310239977
6c,9d,Qd,0.310224409
8d,9c,Kh,0.310217396
2c,5c,As,0.310198090
